StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_NPS_GROUP,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q5,Q7,Q8,Q9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Course Feedback - Overall, I was satisfied with the course",Course Feedback - Enrolling in the course was easy,Course Feedback - The frequency and timing of communication from PACE was appropriate,Course Feedback - I learned what I expected,Course Feedback - I will apply what I've learnt in this course,"On a scale from 0-10, how likely are you to recommend this short course to a friend or colleague? - Group","On a scale from 0-10, how likely are you to recommend this short course to a friend or colleague?","Presenter Feedback - Overall, the presenter(s) were effective",Presenter Feedback - The presenter(s) were knowledgeable of the content being delivered,Presenter Feedback - The presenter(s) were able to provide helpful answers to questions asked,Presenter Feedback - The course materials provided were useful,"Do you have any other feedback or suggestions for the presenters? If this is individual feedback, please make clear who you are providing feedback for in the comments.","In this course, I really enjoyed:",This course could be improved by:,"Overall, I would recommend:"
"{""ImportId"":""startDate"",""timeZone"":""Australia/Adelaide""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Adelaide""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Adelaide""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_13""}","{""ImportId"":""QID2_11""}","{""ImportId"":""QID2_12""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID5_NPS_GROUP""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID27_TEXT""}"
10/8/2023 16:06,10/8/2023 16:08,IP Address,,100,82,TRUE,10/8/2023 16:08,R_1eVOR2XYApyeVoB,,,,,-34.9281,138.5999,qr,EN,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Passive,7,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,How informative it was,Specifying it to my workplace and needs,This course 7/10 times
10/8/2023 16:06,10/8/2023 16:08,IP Address,,100,79,TRUE,10/8/2023 16:08,R_2rpGlwNjrG8jIV3,,,,,-34.9281,138.5999,qr,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Sonali and learning ,,
10/8/2023 16:07,10/8/2023 16:08,IP Address,,100,77,TRUE,10/8/2023 16:08,R_1gHJuNcbz0oa37i,,,,,-34.9281,138.5999,qr,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Marks session ,,The entire program was interesting and worthwhile 
10/8/2023 16:06,10/8/2023 16:08,IP Address,,100,127,TRUE,10/8/2023 16:08,R_3dS8EaKGh3GauCh,,,,,-34.9281,138.5999,qr,EN,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Passive,7,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Marks presentation and delivery of said presentation,More collaboration and hands on work ,A more workshopped approach as opposed to a seminar like presentation
10/8/2023 16:06,10/8/2023 16:10,IP Address,,100,220,TRUE,10/8/2023 16:10,R_2fj380WQOiiocqQ,,,,,-34.9281,138.5999,qr,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The presenters are absolutely amazing so polite with lots of knowledge I will be forwarding this course on to the company to enroll more people ,All aspects and strategies used to identify my strengths and weaknesses this course has made me feel better within ,No improvement required ,Highly 
10/8/2023 16:29,10/8/2023 16:32,IP Address,,100,189,TRUE,10/8/2023 16:32,R_3lYnJF7DAOw8w21,,,,,-34.9281,138.5999,qr,EN,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Promoter,9,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Catering from Finicky catering was really good. Probably needed an extra 15 minutes to 30 minutes for Gary Edwards and Mark Priadko presentation so it would be less rushed.,Handouts,,Yes definitely recommend
10/8/2023 16:31,10/8/2023 16:32,IP Address,,100,82,TRUE,10/8/2023 16:32,R_1jeRRuIcBLWM9Fp,,,,,-34.9281,138.5999,qr,EN,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Passive,8,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,,
10/8/2023 16:32,10/8/2023 16:33,IP Address,,100,63,TRUE,10/8/2023 16:33,R_2pM4csEWy18NQ0M,,,,,-34.9281,138.5999,qr,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Passive,8,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
10/8/2023 16:07,10/8/2023 16:33,IP Address,,100,1609,TRUE,10/8/2023 16:33,R_3rHgOLTrDCCEGhA,,,,,-34.9281,138.5999,qr,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,The strategy component ,Same content slightly longer days to help deliver in detail ,"Yes,"
10/8/2023 16:09,10/8/2023 16:42,IP Address,,100,2010,TRUE,10/8/2023 16:42,R_O1juGq50Er8ZPHj,,,,,-34.9281,138.5999,qr,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Promoter,9,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,The variety of topics presented ,Running it over 3 days as some topics felt rushed as there was so much content in the materials,Providing the materials for optional reading prior to the course days
10/8/2023 16:32,10/8/2023 16:57,IP Address,,100,1484,TRUE,10/8/2023 16:57,R_2EzXsuCymr6EaG6,,,,,-34.9281,138.5999,qr,EN,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Passive,7,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"Make the business model session more interactive, and do it as a morning session due to a lot of dry information","The bird personalities, the active leadership styles and how to apply this",Shortening the business model session and adding more practical interactive time,See above
